City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,saint-philippe,-21.3585,55.7679,19.77,80,35,5.14,RE,1691616332
256,saipan,15.1355,145.701,28.39,100,100,4.12,MP,1691616069
257,taoudenni,22.6783,-3.9836,42.29,11,37,9.26,ML,1691616286
258,khromtau,50.2503,58.4347,15.23,84,18,5.9,KZ,1691616332
259,lycksele,64.5954,18.6735,12.93,88,40,1.03,SE,1691616332
260,egilsstadir,65.2653,-14.3948,9.95,62,75,3.09,IS,1691616333
261,dunedin,-45.8742,170.5036,5.45,67,39,2.68,NZ,1691616297
262,jagnair,26.8667,77.6,28.86,68,97,5.54,IN,1691616333
263,chardara,41.2547,67.9692,25.24,44,0,1.54,KZ,1691616333
264,sanctuary point,-35.1114,150.629,15.67,50,91,3.13,AU,1691616333
265,chinju,35.1928,128.0847,24.9,97,100,8.54,KR,1691616333
266,sirte,31.2089,16.5887,26.57,60,1,4.54,LY,1691616333
267,nagua,19.3832,-69.8474,27.17,94,75,0.0,DO,1691616334
268,ramban,33.25,75.25,22.44,86,49,0.85,IN,1691616334
269,san jose de jachal,-30.2406,-68.7469,21.81,16,5,1.8,AR,1691616334
270,avarua,-21.2078,-159.775,25.03,69,75,9.77,CK,1691616334
271,guerrero negro,27.9769,-114.0611,27.82,58,13,7.89,MX,1691616165
272,beloyarskiy,63.7119,66.6722,9.93,82,12,2.43,RU,1691616334
273,yaren,-0.5472,166.916,28.02,75,51,2.77,NR,1691616151
274,tofol,5.3248,163.0078,28.05,75,86,4.75,FM,1691616335
275,udachny,66.4167,112.4,14.14,58,98,2.66,RU,1691616154
276,wailua homesteads,22.0669,-159.378,32.24,72,75,9.77,US,1691616335
277,karasburg,-28.0167,18.75,17.83,19,0,5.5,NA,1691616335
278,tambura,5.6,27.4667,20.34,95,70,1.11,SS,1691616335
279,lashkar gah,31.5938,64.3716,30.42,11,0,1.44,AF,1691616335
280,vilyuchinsk,52.9306,158.4028,15.15,75,100,2.3,RU,1691616239
281,angaur state,6.906,134.13,28.11,80,98,8.74,PW,1691616289
282,kavieng,-2.5744,150.7967,27.15,79,95,6.56,PG,1691616335
283,santa ana,33.7456,-117.8678,34.42,66,75,4.63,US,1691616060
284,jaguaribe,-5.8906,-38.6219,30.14,27,57,3.31,BR,1691616183
285,limassol,34.675,33.0333,26.04,83,0,2.57,CY,1691616251
286,ziro,27.6333,93.8333,16.6,98,97,0.47,IN,1691616336
